ma_len,us10y_th,vix_th,rsi_th,risk_pos,cagr,max_dd,calmar,avg_exposure,dd_peak,dd_trough
150,0.12,45,35,0.6,0.12975774254228245,-0.23902407550527127,0.5428647397463561,80.89309878213801,2020-02-19,2020-03-23
120,0.12,38,32,0.7,0.12973780694992287,-0.26489483726786733,0.4897709909639697,85.45669824086603,2020-02-19,2020-03-23
120,0.12,40,32,0.7,0.12973780694992287,-0.26489483726786733,0.4897709909639697,85.45669824086603,2020-02-19,2020-03-23
180,0.12,45,35,0.7,0.12968247321503146,-0.26489483726786744,0.4895621015214189,85.55818673883626,2020-02-19,2020-03-23
150,0.12,45,30,0.6,0.1296719740852521,-0.2390240755052716,0.5425059120556759,80.86603518267928,2020-02-19,2020-03-23
180,0.08,45,32,0.7,0.12965376124366923,-0.2648948372678672,0.4894537114461035,83.96481732070366,2020-02-19,2020-03-23
180,0.08,45,35,0.7,0.12965376124366923,-0.2648948372678672,0.4894537114461035,83.96481732070366,2020-02-19,2020-03-23
200,0.12,45,32,0.6,0.12965240493899666,-0.2390240755052715,0.5424240410298639,80.56833558863329,2020-02-19,2020-03-23
180,0.15,38,35,0.7,0.12964597412753176,-0.26489483726786744,0.48942431443626405,86.6339648173207,2020-02-19,2020-03-23
180,0.15,40,35,0.7,0.12964597412753176,-0.26489483726786744,0.48942431443626405,86.6339648173207,2020-02-19,2020-03-23
120,0.08,45,30,0.7,0.12962026463367837,-0.26489483726786733,0.4893272589627845,83.90392422192151,2020-02-19,2020-03-23
180,0.12,45,30,0.7,0.12961920125182935,-0.26489483726786744,0.48932324460803134,85.53788903924222,2020-02-19,2020-03-23
200,0.15,38,32,0.6,0.12961746826563214,-0.23902407550527138,0.542277877203937,82.00270635994585,2020-02-19,2020-03-23
200,0.15,40,32,0.6,0.12961746826563214,-0.23902407550527138,0.542277877203937,82.00270635994585,2020-02-19,2020-03-23
200,0.1,38,35,0.7,0.12960690332629965,-0.26489483726786744,0.4892768189182876,84.55345060893099,2020-02-19,2020-03-23
200,0.1,40,35,0.7,0.12960690332629965,-0.26489483726786744,0.4892768189182876,84.55345060893099,2020-02-19,2020-03-23
150,0.08,35,32,0.6,0.12960292962573883,-0.23902407550527172,0.5422170522018416,78.7550744248985,2020-02-19,2020-03-23
150,0.08,35,35,0.6,0.12960292962573883,-0.23902407550527172,0.5422170522018416,78.7550744248985,2020-02-19,2020-03-23
180,0.15,45,30,0.7,0.12956063092407666,-0.26489483726786744,0.489102136758755,86.62381596752367,2020-02-19,2020-03-23
180,0.12,38,32,0.7,0.12955556245843214,-0.26489483726786733,0.4890830028802063,85.52774018944518,2020-02-19,2020-03-23
180,0.12,40,32,0.7,0.12955556245843214,-0.26489483726786733,0.4890830028802063,85.52774018944518,2020-02-19,2020-03-23
200,0.1,38,30,0.7,0.12954363559566295,-0.26489483726786733,0.48903797798318605,84.53315290933695,2020-02-19,2020-03-23
200,0.1,40,30,0.7,0.12954363559566295,-0.26489483726786733,0.48903797798318605,84.53315290933695,2020-02-19,2020-03-23
150,0.15,45,30,0.6,0.12950865806559664,-0.23902407550527172,0.5418226502574227,82.30040595399187,2020-02-19,2020-03-23
100,0.15,38,32,0.7,0.1294540222372318,-0.26489483726786733,0.48869968011617043,86.49188092016237,2020-02-19,2020-03-23
100,0.15,40,32,0.7,0.1294540222372318,-0.26489483726786733,0.48869968011617043,86.49188092016237,2020-02-19,2020-03-23
200,0.1,35,32,0.7,0.1294335094551018,-0.2648948372678678,0.4886222426608324,84.51285520974288,2020-02-19,2020-03-23
150,0.08,38,30,0.6,0.12942901753010827,-0.23902407550527138,0.5414894598232799,78.76860622462787,2020-02-19,2020-03-23
150,0.08,40,30,0.6,0.12942901753010827,-0.23902407550527138,0.5414894598232799,78.76860622462787,2020-02-19,2020-03-23
150,0.08,45,30,0.6,0.12942901753010827,-0.23902407550527138,0.5414894598232799,78.76860622462787,2020-02-19,2020-03-23
120,0.08,35,32,0.7,0.1294066235402862,-0.26489483726786767,0.488520746100564,83.88362652232748,2020-02-19,2020-03-23
120,0.08,35,35,0.7,0.1294066235402862,-0.26489483726786767,0.488520746100564,83.88362652232748,2020-02-19,2020-03-23
80,0.08,45,32,0.7,0.12939434024708474,-0.2648948372678671,0.4884743756490751,83.74154262516915,2020-02-19,2020-03-23
80,0.08,45,35,0.7,0.12939434024708474,-0.2648948372678671,0.4884743756490751,83.74154262516915,2020-02-19,2020-03-23
120,0.15,38,30,0.7,0.12938649863474683,-0.26489483726786744,0.48844477291155497,86.49188092016237,2020-02-19,2020-03-23
120,0.15,40,30,0.7,0.12938649863474683,-0.26489483726786744,0.48844477291155497,86.49188092016237,2020-02-19,2020-03-23
200,0.15,35,30,0.7,0.12937182188193108,-0.26489483726786744,0.4883893669513365,86.44113667117726,2020-02-19,2020-03-23
150,0.12,38,35,0.6,0.1293565908553198,-0.23902407550527127,0.5411864498664992,80.87956698240865,2020-02-19,2020-03-23
150,0.12,40,35,0.6,0.1293565908553198,-0.23902407550527127,0.5411864498664992,80.87956698240865,2020-02-19,2020-03-23
180,0.08,38,32,0.7,0.12931010238267104,-0.2648948372678672,0.488156370718203,83.95466847090663,2020-02-19,2020-03-23
180,0.08,38,35,0.7,0.12931010238267104,-0.2648948372678672,0.488156370718203,83.95466847090663,2020-02-19,2020-03-23
180,0.08,40,32,0.7,0.12931010238267104,-0.2648948372678672,0.488156370718203,83.95466847090663,2020-02-19,2020-03-23
180,0.08,40,35,0.7,0.12931010238267104,-0.2648948372678672,0.488156370718203,83.95466847090663,2020-02-19,2020-03-23
120,0.15,35,32,0.7,0.12930629652469228,-0.26489483726786733,0.488142003288403,86.47158322056835,2020-02-19,2020-03-23
100,0.15,45,35,0.7,0.12928024871823052,-0.2648948372678672,0.488043670656743,86.51217861975643,2020-02-19,2020-03-23
120,0.08,38,30,0.7,0.12927661596288886,-0.26489483726786733,0.48802995670376764,83.89377537212448,2020-02-19,2020-03-23
